iteracion,estado,observacion,tweet
60,Negativo,palabra negativa,No puedo creer lo aburrido
61,Negativo,palabra negativa,La situación se ve peor
62,Neutral,palabra negativa,"La verdad, muy peor todo"
63,Negativo,palabra neutra,Me parece solo lo que vi
64,Negativo,palabra neutra,Esto es realmente momento
65,Negativo,palabra negativa,Siempre pasa algo aburridísimo
66,Negativo,palabra negativa,La situación se ve deprimente
67,Negativo,palabra negativa,"La verdad, muy aburridísimo todo"
68,Negativo,palabra negativa,Nunca habia visto algo tan deprimente
69,Negativo,palabra negativa,Definitivamente es detesto
70,Positivo,palabra positiva,No puedo creer lo espectacular
71,Positivo,palabra positiva,Me parece extraordinario lo que vi
72,Neutral,palabra positiva,La situación se ve brillante
73,Positivo,palabra positiva,Qué espectacular es la vida
74,Positivo,palabra positiva,No puedo creer lo encantador
75,Positivo,palabra positiva,Nunca habia visto algo tan perfecto
76,Positivo,palabra positiva,Siempre pasa algo espectacular
77,Positivo,palabra neutra,Definitivamente es lugar
78,Positivo,palabra positiva,Definitivamente es feliz
79,Positivo,palabra positiva,"La verdad, muy brillante todo"
80,Positivo,palabra positiva,Esto es realmente feliz
81,Positivo,palabra positiva,Qué día más genial
82,Positivo,palabra positiva,No puedo creer lo magnífico
83,Positivo,palabra positiva,Qué día más genial
84,Positivo,palabra positiva,Todo está muy brillante ultimamente
85,Positivo,palabra positiva,Qué hermoso es la vida
86,Positivo,palabra positiva,Qué momento tan hermoso
87,Neutral,palabra negativa,Definitivamente es insufrible
88,Positivo,palabra positiva,Esto es realmente brillante
89,Positivo,palabra positiva,Hoy me siento estupendo
90,Positivo,palabra negativa,Hoy me siento detesto
91,Neutral,palabra positiva,Algo feliz ha pasado hoy
92,Positivo,palabra negativa,El día está asqueroso
93,Neutral,palabra neutra,Qué día más así
94,Negativo,palabra negativa,Nunca habia visto algo tan asqueroso
95,Negativo,palabra negativa,Esto es realmente frustrante
96,Neutral,palabra neutra,Hoy me siento nunca
97,Neutral,palabra neutra,Esto es realmente veo
98,Neutral,palabra neutra,Definitivamente es después
99,Positivo,palabra positiva,Algo fantástico ha pasado hoy
100,Positivo,palabra positiva,Nunca habia visto algo tan fantástico
101,Positivo,palabra positiva,Siempre pasa algo sensacional
102,Positivo,palabra neutra,Todo está muy parece ultimamente
103,Negativo,palabra negativa,Todo está muy pésimo ultimamente
104,Negativo,palabra negativa,Esto es realmente detesto
105,Negativo,palabra negativa,Nunca habia visto algo tan asqueroso
106,Negativo,palabra negativa,El día está pésimo
107,Negativo,palabra negativa,Algo horrible ha pasado hoy
108,Negativo,palabra neutra,Definitivamente es tiempo
109,Neutral,palabra positiva,Me parece extraordinario lo que vi
110,Neutral,palabra positiva,La situación se ve fantástico
111,Neutral,palabra positiva,Hoy me siento excelente
112,Neutral,palabra negativa,El día está deprimente
113,Neutral,palabra neutra,Esto es realmente pienso
114,Neutral,palabra positiva,"La verdad, muy fantástico todo"
115,Neutral,palabra neutra,No puedo creer lo veo
116,Neutral,palabra neutra,Esto es realmente cosa
117,Negativo,palabra positiva,Algo sensacional ha pasado hoy
118,Positivo,palabra positiva,Definitivamente es emocionante
119,Positivo,palabra positiva,Hoy me siento emocionante
120,Positivo,palabra positiva,Qué momento tan admirable
121,Positivo,palabra positiva,"La verdad, muy emocionante todo"
122,Neutral,palabra negativa,Qué aburridísimo es la vida
123,Neutral,palabra negativa,La situación se ve pésimo
124,Negativo,palabra negativa,"La verdad, muy triste todo"
125,Negativo,palabra negativa,No puedo creer lo terrible
126,Positivo,palabra positiva,Nunca habia visto algo tan genial
127,Neutral,palabra neutra,El día está después
128,Positivo,palabra positiva,El día está emocionante
129,Positivo,palabra positiva,Nunca habia visto algo tan alegre
130,Positivo,palabra positiva,El día está fantástico
131,Positivo,palabra positiva,Esto es realmente mejor
132,Positivo,palabra positiva,Hoy me siento fantástico
133,Positivo,palabra neutra,El día está pienso
134,Positivo,palabra positiva,Qué increíble es la vida
135,Positivo,palabra negativa,Todo está muy odio ultimamente
136,Positivo,palabra neutra,Definitivamente es día
137,Positivo,palabra positiva,Qué momento tan maravilloso
138,Positivo,palabra positiva,El día está admirable
139,Neutral,palabra neutra,Definitivamente es mañana
140,Neutral,palabra neutra,La situación se ve ayer
141,Positivo,palabra positiva,Qué momento tan excelente
142,Positivo,palabra negativa,La situación se ve decepcionante
143,Positivo,palabra neutra,Siempre pasa algo parece
144,Positivo,palabra neutra,Algo forma ha pasado hoy
145,Positivo,palabra positiva,Definitivamente es excelente
146,Neutral,palabra neutra,Algo tiempo ha pasado hoy
147,Positivo,palabra positiva,Qué momento tan feliz
148,Positivo,palabra neutra,Nunca habia visto algo tan ayer
149,Positivo,palabra positiva,Qué magnífico es la vida
150,Neutral,palabra neutra,Esto es realmente tiempo
151,Neutral,palabra neutra,Qué día más tal vez
152,Negativo,palabra negativa,Me parece decepcionante lo que vi
153,Neutral,palabra positiva,Hoy me siento brillante
154,Neutral,palabra positiva,El día está excelente
155,Neutral,palabra negativa,"La verdad, muy decepcionante todo"
156,Neutral,palabra neutra,Esto es realmente pienso
157,Negativo,palabra positiva,La situación se ve maravilloso
158,Negativo,palabra neutra,Siempre pasa algo mañana
159,Negativo,palabra negativa,Todo está muy peor ultimamente
160,Neutral,palabra neutra,Qué pienso es la vida
161,Neutral,palabra neutra,Todo está muy gente ultimamente
162,Neutral,palabra positiva,El día está extraordinario
163,Negativo,palabra neutra,"La verdad, muy momento todo"
164,Negativo,palabra negativa,Algo fatal ha pasado hoy
165,Negativo,palabra negativa,Todo está muy asqueroso ultimamente
166,Positivo,palabra positiva,Algo alegre ha pasado hoy
167,Positivo,palabra negativa,Definitivamente es pesimo
168,Positivo,palabra positiva,Esto es realmente magnífico
169,Negativo,palabra negativa,Hoy me siento odio
170,Negativo,palabra negativa,"La verdad, muy fatal todo"
171,Negativo,palabra negativa,Algo triste ha pasado hoy
172,Neutral,palabra neutra,Definitivamente es veo
173,Neutral,palabra positiva,La situación se ve excelente
174,Neutral,palabra neutra,Siempre pasa algo veo
175,Negativo,palabra negativa,Todo está muy molesto ultimamente
176,Negativo,palabra negativa,"La verdad, muy triste todo"
177,Negativo,palabra negativa,Algo pésimo ha pasado hoy
178,Negativo,palabra negativa,"La verdad, muy aburridísimo todo"
179,Neutral,palabra neutra,El día está tal vez
180,Positivo,palabra positiva,Qué fantástico es la vida
181,Neutral,palabra neutra,No puedo creer lo mañana
182,Negativo,palabra neutra,"La verdad, muy tal vez todo"
183,Negativo,palabra negativa,"La verdad, muy lamentable todo"
184,Neutral,palabra positiva,Nunca habia visto algo tan extraordinario
185,Neutral,palabra neutra,Todo está muy veo ultimamente
186,Positivo,palabra neutra,Esto es realmente veo
187,Positivo,palabra negativa,La situación se ve lamentable
188,Positivo,palabra positiva,Qué día más maravilloso
189,Positivo,palabra positiva,Qué hermoso es la vida
190,Positivo,palabra negativa,Todo está muy pesimo ultimamente
191,Positivo,palabra neutra,Hoy me siento solo
192,Positivo,palabra positiva,Siempre pasa algo sensacional
193,Positivo,palabra positiva,Hoy me siento fabuloso
194,Neutral,palabra neutra,El día está momento
195,Positivo,palabra positiva,Me parece perfecto lo que vi
196,Positivo,palabra positiva,Esto es realmente encantador
197,Positivo,palabra positiva,No puedo creer lo mejor
198,Neutral,palabra positiva,La situación se ve sensacional
199,Neutral,palabra neutra,No puedo creer lo quizás
200,Positivo,palabra neutra,Qué momento tan forma
201,Positivo,palabra positiva,Hoy me siento increíble
202,Positivo,palabra positiva,Hoy me siento genial
203,Neutral,palabra positiva,Siempre pasa algo extraordinario
204,Neutral,palabra neutra,El día está hoy
205,Positivo,palabra positiva,La situación se ve genial
206,Positivo,palabra positiva,Esto es realmente genial
207,Neutral,palabra negativa,"La verdad, muy triste todo"
208,Neutral,palabra neutra,Definitivamente es dice
209,Positivo,palabra positiva,Todo está muy magnífico ultimamente
210,Neutral,palabra neutra,Qué mañana es la vida
211,Neutral,palabra positiva,Algo estupendo ha pasado hoy
212,Neutral,palabra negativa,El día está aburrido
213,Neutral,palabra negativa,El día está odio
214,Neutral,palabra positiva,El día está espectacular
215,Positivo,palabra positiva,Me parece mejor lo que vi
216,Neutral,palabra neutra,Qué día más día
217,Positivo,palabra positiva,Esto es realmente emocionante
218,Positivo,palabra positiva,Esto es realmente alegre
219,Positivo,palabra neutra,Qué veo es la vida
220,Positivo,palabra positiva,Definitivamente es fabuloso
221,Positivo,palabra neutra,"La verdad, muy lugar todo"
222,Positivo,palabra neutra,Qué día más ayer
223,Neutral,palabra positiva,No puedo creer lo increíble
224,Neutral,palabra positiva,Todo está muy estupendo ultimamente
225,Negativo,palabra positiva,Me parece hermoso lo que vi
226,Neutral,palabra neutra,Algo pienso ha pasado hoy
227,Negativo,palabra neutra,Me parece día lo que vi
228,Negativo,palabra neutra,La situación se ve después
229,Negativo,palabra negativa,Esto es realmente pesimo
230,Negativo,palabra neutra,Qué día más algunas
231,Negativo,palabra positiva,"La verdad, muy genial todo"
232,Negativo,palabra negativa,Hoy me siento horroroso
233,Negativo,palabra negativa,Qué día más horrible
234,Negativo,palabra negativa,Esto es realmente horroroso
235,Negativo,palabra negativa,Hoy me siento molesto
236,Negativo,palabra positiva,Definitivamente es genial
237,Negativo,palabra negativa,La situación se ve asqueroso
238,Negativo,palabra negativa,Todo está muy terrible ultimamente
239,Neutral,palabra negativa,Nunca habia visto algo tan lamentable
240,Positivo,palabra positiva,La situación se ve emocionante
241,Positivo,palabra positiva,Qué genial es la vida
242,Positivo,palabra neutra,La situación se ve momento
243,Positivo,palabra positiva,Qué día más alegre
244,Positivo,palabra positiva,El día está excelente
245,Negativo,palabra negativa,Todo está muy aburridísimo ultimamente
246,Negativo,palabra negativa,Qué momento tan aburridísimo
247,Negativo,palabra negativa,Qué momento tan aburrido
248,Neutral,palabra neutra,Qué lugar es la vida
249,Negativo,palabra negativa,Todo está muy molesto ultimamente
250,Positivo,palabra negativa,Algo odio ha pasado hoy
251,Neutral,palabra neutra,Me parece tal vez lo que vi
252,Neutral,palabra neutra,Qué pienso es la vida
253,Neutral,palabra positiva,Siempre pasa algo perfecto
254,Positivo,palabra positiva,No puedo creer lo fabuloso
255,Positivo,palabra positiva,Qué momento tan emocionante
256,Positivo,palabra positiva,Qué perfecto es la vida
257,Positivo,palabra neutra,Qué parece es la vida
258,Neutral,palabra negativa,Esto es realmente detesto
259,Negativo,palabra negativa,Qué momento tan frustrante
260,Neutral,palabra neutra,Todo está muy ahora ultimamente
261,Neutral,palabra positiva,El día está alegre
262,Neutral,palabra positiva,Qué alegre es la vida
263,Positivo,palabra neutra,La situación se ve cosa
264,Positivo,palabra positiva,La situación se ve maravilloso
265,Negativo,palabra negativa,Qué día más detesto
266,Negativo,palabra negativa,El día está horroroso
267,Positivo,palabra neutra,Qué momento tan lugar
268,Negativo,palabra negativa,El día está terrible
269,Negativo,palabra negativa,Siempre pasa algo detesto
270,Negativo,palabra neutra,Siempre pasa algo solo
271,Negativo,palabra negativa,Algo decepcionante ha pasado hoy
272,Neutral,palabra positiva,Todo está muy estupendo ultimamente
273,Neutral,palabra neutra,Qué lugar es la vida
274,Negativo,palabra negativa,No puedo creer lo detesto
275,Negativo,palabra negativa,No puedo creer lo aburridísimo
276,Negativo,palabra negativa,Hoy me siento aburrido
277,Positivo,palabra neutra,Todo está muy forma ultimamente
278,Neutral,palabra positiva,Siempre pasa algo emocionante
279,Neutral,palabra neutra,Me parece dice lo que vi
280,Neutral,palabra neutra,"La verdad, muy ayer todo"
281,Positivo,palabra positiva,Hoy me siento encantador
282,Neutral,palabra positiva,Todo está muy emocionante ultimamente
283,Positivo,palabra negativa,Qué frustrante es la vida
284,Positivo,palabra positiva,Me parece emocionante lo que vi
285,Positivo,palabra positiva,Todo está muy perfecto ultimamente
286,Negativo,palabra negativa,Me parece odio lo que vi
287,Negativo,palabra negativa,El día está molesto
288,Neutral,palabra negativa,Nunca habia visto algo tan decepcionante
289,Positivo,palabra neutra,Todo está muy ahora ultimamente
290,Neutral,palabra neutra,Qué día más así
291,Positivo,palabra positiva,Qué día más brillante
292,Neutral,palabra neutra,Qué algunas es la vida
293,Positivo,palabra positiva,Me parece emocionante lo que vi
294,Neutral,palabra neutra,Qué momento tan algunas
295,Neutral,palabra negativa,Algo insufrible ha pasado hoy
296,Neutral,palabra neutra,"La verdad, muy tal vez todo"
297,Neutral,palabra positiva,Siempre pasa algo hermoso
298,Negativo,palabra negativa,"La verdad, muy horroroso todo"
299,Neutral,palabra neutra,El día está veo
300,Neutral,palabra negativa,Hoy me siento terrible
301,Neutral,palabra neutra,"La verdad, muy siempre todo"
302,Neutral,palabra neutra,Algo veces ha pasado hoy
303,Positivo,palabra positiva,No puedo creer lo perfecto
304,Neutral,palabra negativa,La situación se ve horrible
305,Negativo,palabra negativa,Qué día más decepcionante
306,Positivo,palabra positiva,Siempre pasa algo estupendo
307,Neutral,palabra neutra,No puedo creer lo tiempo
308,Neutral,palabra positiva,Definitivamente es feliz
309,Neutral,palabra negativa,Siempre pasa algo peor
310,Neutral,palabra positiva,Siempre pasa algo admirable
311,Neutral,palabra neutra,El día está cosa
312,Neutral,palabra neutra,Qué día más tiempo
313,Neutral,palabra neutra,Qué momento tan después
314,Neutral,palabra positiva,El día está mejor
315,Negativo,palabra negativa,Me parece asqueroso lo que vi
316,Neutral,palabra positiva,Siempre pasa algo extraordinario
317,Positivo,palabra negativa,Me parece asqueroso lo que vi
318,Positivo,palabra positiva,Definitivamente es feliz
319,Positivo,palabra positiva,Todo está muy magnífico ultimamente
320,Positivo,palabra neutra,Me parece momento lo que vi
321,Positivo,palabra positiva,Nunca habia visto algo tan extraordinario
322,Negativo,palabra negativa,Definitivamente es frustrante
323,Negativo,palabra negativa,Nunca habia visto algo tan detesto
324,Neutral,palabra neutra,La situación se ve dice
325,Neutral,palabra negativa,No puedo creer lo decepcionante
326,Positivo,palabra positiva,Siempre pasa algo sensacional
327,Positivo,palabra positiva,El día está fabuloso
328,Positivo,palabra positiva,"La verdad, muy magnífico todo"
329,Positivo,palabra positiva,El día está admirable
330,Positivo,palabra negativa,El día está detesto
331,Positivo,palabra positiva,Definitivamente es maravilloso
332,Positivo,palabra positiva,No puedo creer lo extraordinario
333,Positivo,palabra positiva,"La verdad, muy mejor todo"
334,Negativo,palabra positiva,Esto es realmente emocionante
335,Neutral,palabra negativa,Esto es realmente insufrible
336,Neutral,palabra neutra,Qué veo es la vida
337,Neutral,palabra negativa,"La verdad, muy odio todo"
338,Negativo,palabra negativa,Qué día más peor
339,Negativo,palabra neutra,Hoy me siento nunca
340,Negativo,palabra negativa,Siempre pasa algo detesto
341,Negativo,palabra negativa,"La verdad, muy horroroso todo"
342,Negativo,palabra negativa,"La verdad, muy pesimo todo"
343,Negativo,palabra negativa,Me parece insufrible lo que vi
344,Negativo,palabra negativa,Me parece fatal lo que vi
345,Negativo,palabra negativa,Qué momento tan deprimente
346,Negativo,palabra neutra,Todo está muy veo ultimamente
347,Negativo,palabra negativa,Todo está muy frustrante ultimamente
348,Negativo,palabra negativa,Todo está muy molesto ultimamente
349,Positivo,palabra positiva,Qué momento tan excelente
350,Neutral,palabra neutra,Hoy me siento quizás
351,Negativo,palabra negativa,Me parece detesto lo que vi
352,Negativo,palabra negativa,Esto es realmente triste
353,Negativo,palabra negativa,Hoy me siento odio
354,Neutral,palabra neutra,Qué tal vez es la vida
355,Neutral,palabra neutra,Nunca habia visto algo tan después
356,Positivo,palabra negativa,Algo detesto ha pasado hoy
357,Positivo,palabra positiva,Hoy me siento fantástico
358,Neutral,palabra neutra,Nunca habia visto algo tan veces
359,Positivo,palabra positiva,Qué día más sensacional
360,Neutral,palabra positiva,El día está estupendo
361,Neutral,palabra neutra,Definitivamente es nunca
362,Neutral,palabra positiva,Algo brillante ha pasado hoy
363,Positivo,palabra positiva,Todo está muy fabuloso ultimamente
364,Positivo,palabra positiva,Siempre pasa algo alegre
365,Neutral,palabra negativa,Siempre pasa algo frustrante
366,Neutral,palabra neutra,El día está mañana
367,Negativo,palabra neutra,Qué momento tan así
368,Negativo,palabra negativa,No puedo creer lo peor
369,Neutral,palabra neutra,"La verdad, muy así todo"
370,Neutral,palabra negativa,Qué día más horrible
371,Neutral,palabra neutra,El día está cosa
372,Neutral,palabra negativa,Algo odio ha pasado hoy
373,Neutral,palabra neutra,Qué día más quizás
374,Negativo,palabra negativa,Esto es realmente lamentable
375,Negativo,palabra negativa,Hoy me siento detesto
376,Neutral,palabra neutra,No puedo creer lo ahora
377,Neutral,palabra negativa,La situación se ve insufrible
378,Neutral,palabra neutra,Nunca habia visto algo tan ayer
379,Neutral,palabra negativa,Hoy me siento terrible
380,Neutral,palabra positiva,Qué fabuloso es la vida
381,Positivo,palabra positiva,Definitivamente es fabuloso
382,Positivo,palabra positiva,Algo admirable ha pasado hoy
383,Positivo,palabra positiva,Me parece increíble lo que vi
384,Positivo,palabra neutra,Esto es realmente dice
385,Negativo,palabra negativa,Hoy me siento molesto
386,Negativo,palabra negativa,No puedo creer lo terrible
387,Neutral,palabra neutra,Me parece momento lo que vi
388,Negativo,palabra negativa,Definitivamente es deprimente
389,Negativo,palabra neutra,Esto es realmente mañana
390,Neutral,palabra positiva,Esto es realmente fabuloso
391,Positivo,palabra neutra,Qué momento es la vida
392,Positivo,palabra positiva,Todo está muy excelente ultimamente
393,Neutral,palabra neutra,No puedo creer lo mañana
394,Positivo,palabra neutra,Esto es realmente después
395,Positivo,palabra positiva,Qué día más sensacional
396,Neutral,palabra neutra,Siempre pasa algo día
397,Positivo,palabra positiva,Siempre pasa algo extraordinario
398,Positivo,palabra positiva,Definitivamente es magnífico
399,Positivo,palabra positiva,El día está sensacional
400,Positivo,palabra positiva,Nunca habia visto algo tan encantador
401,Positivo,palabra positiva,No puedo creer lo brillante
402,Neutral,palabra negativa,No puedo creer lo fatal
403,Positivo,palabra positiva,Qué momento tan maravilloso
404,Negativo,palabra positiva,Todo está muy estupendo ultimamente
405,Neutral,palabra neutra,Qué gente es la vida
406,Negativo,palabra neutra,Todo está muy veces ultimamente
407,Positivo,palabra negativa,Siempre pasa algo decepcionante
408,Negativo,palabra negativa,Todo está muy frustrante ultimamente
409,Neutral,palabra neutra,Siempre pasa algo entonces
410,Positivo,palabra positiva,Algo hermoso ha pasado hoy
411,Neutral,palabra neutra,Siempre pasa algo quizás
412,Neutral,palabra positiva,Siempre pasa algo emocionante
413,Positivo,palabra positiva,Definitivamente es extraordinario
414,Positivo,palabra positiva,Qué día más increíble
415,Positivo,palabra neutra,Definitivamente es mañana
416,Neutral,palabra negativa,Me parece aburrido lo que vi
417,Neutral,palabra neutra,Qué día más momento
418,Negativo,palabra negativa,El día está triste
419,Negativo,palabra negativa,"La verdad, muy peor todo"
420,Neutral,palabra neutra,El día está tiempo
421,Neutral,palabra neutra,Nunca habia visto algo tan mañana
422,Neutral,palabra positiva,Esto es realmente extraordinario
423,Neutral,palabra neutra,Me parece gente lo que vi
424,Neutral,palabra neutra,Definitivamente es parece
425,Positivo,palabra positiva,Siempre pasa algo magnífico
426,Neutral,palabra neutra,Hoy me siento gente
427,Positivo,palabra positiva,Qué día más maravilloso
428,Positivo,palabra positiva,Nunca habia visto algo tan espectacular
429,Neutral,palabra positiva,La situación se ve feliz
430,Neutral,palabra neutra,Esto es realmente mañana
431,Negativo,palabra negativa,Qué momento tan asqueroso
432,Neutral,palabra neutra,La situación se ve tiempo
433,Neutral,palabra negativa,La situación se ve horrible
434,Neutral,palabra negativa,Hoy me siento triste
435,Negativo,palabra negativa,La situación se ve insufrible
436,Negativo,palabra negativa,"La verdad, muy decepcionante todo"
437,Negativo,palabra negativa,Hoy me siento decepcionante
438,Negativo,palabra negativa,Siempre pasa algo odio
439,Negativo,palabra neutra,No puedo creer lo gente
440,Neutral,palabra positiva,Qué momento tan perfecto
441,Negativo,palabra negativa,Siempre pasa algo horrible
442,Positivo,palabra positiva,Me parece genial lo que vi
443,Neutral,palabra negativa,No puedo creer lo lamentable
444,Neutral,palabra neutra,Esto es realmente hoy
445,Neutral,palabra positiva,La situación se ve feliz
446,Negativo,palabra neutra,Algo veo ha pasado hoy
447,Neutral,palabra positiva,Siempre pasa algo espectacular
448,Neutral,palabra positiva,Siempre pasa algo brillante
449,Positivo,palabra positiva,Hoy me siento brillante
450,Positivo,palabra positiva,Nunca habia visto algo tan brillante
451,Positivo,palabra positiva,No puedo creer lo estupendo
452,Positivo,palabra positiva,El día está fabuloso
453,Positivo,palabra negativa,La situación se ve pesimo
454,Positivo,palabra neutra,Qué momento tan después
455,Positivo,palabra neutra,Qué momento tan nunca
456,Positivo,palabra positiva,Qué día más brillante
457,Positivo,palabra positiva,Todo está muy alegre ultimamente
458,Positivo,palabra negativa,"La verdad, muy peor todo"
459,Positivo,palabra positiva,Definitivamente es genial
460,Negativo,palabra negativa,Definitivamente es aburridísimo
461,Negativo,palabra negativa,No puedo creer lo odio
462,Negativo,palabra positiva,Qué día más magnífico
463,Neutral,palabra positiva,"La verdad, muy hermoso todo"
464,Positivo,palabra negativa,La situación se ve aburridísimo
465,Positivo,palabra positiva,Qué momento tan encantador
466,Positivo,palabra positiva,Hoy me siento feliz
467,Neutral,palabra neutra,La situación se ve día
468,Neutral,palabra positiva,Todo está muy sensacional ultimamente
469,Neutral,palabra negativa,Nunca habia visto algo tan horrible
470,Neutral,palabra negativa,La situación se ve fatal
471,Neutral,palabra neutra,Esto es realmente quizás
472,Neutral,palabra negativa,Algo lamentable ha pasado hoy
473,Neutral,palabra negativa,La situación se ve aburrido
474,Neutral,palabra negativa,Siempre pasa algo insufrible
475,Neutral,palabra neutra,Qué día más algunas
476,Neutral,palabra positiva,Me parece excelente lo que vi
477,Neutral,palabra neutra,Qué momento tan entonces
478,Neutral,palabra neutra,Qué momento tan veo
479,Positivo,palabra positiva,Qué espectacular es la vida
480,Positivo,palabra positiva,"La verdad, muy mejor todo"
481,Negativo,palabra positiva,Esto es realmente sensacional
482,Negativo,palabra neutra,Algo momento ha pasado hoy
483,Negativo,palabra negativa,Siempre pasa algo fatal
484,Negativo,palabra negativa,Nunca habia visto algo tan odio
485,Negativo,palabra negativa,Qué molesto es la vida
486,Neutral,palabra neutra,Me parece después lo que vi
487,Neutral,palabra neutra,Qué tiempo es la vida
488,Neutral,palabra neutra,"La verdad, muy solo todo"
489,Positivo,palabra neutra,Esto es realmente día
490,Positivo,palabra positiva,Nunca habia visto algo tan emocionante
491,Positivo,palabra neutra,Nunca habia visto algo tan cosa
492,Neutral,palabra neutra,Qué día más gente
493,Positivo,palabra positiva,No puedo creer lo excelente
494,Positivo,palabra positiva,Qué día más maravilloso
495,Neutral,palabra neutra,El día está tal vez
496,Neutral,palabra positiva,Qué momento tan perfecto
497,Neutral,palabra negativa,La situación se ve insufrible
498,Positivo,palabra neutra,Siempre pasa algo quizás
499,Positivo,palabra positiva,Esto es realmente sensacional
500,Positivo,palabra positiva,Hoy me siento brillante
501,Negativo,palabra negativa,Qué día más asqueroso
502,Negativo,palabra negativa,Qué molesto es la vida
503,Neutral,palabra neutra,Hoy me siento nunca
504,Neutral,palabra negativa,Nunca habia visto algo tan peor
505,Neutral,palabra neutra,Esto es realmente pienso
506,Neutral,palabra negativa,Me parece peor lo que vi
507,Negativo,palabra negativa,Todo está muy aburridísimo ultimamente
508,Negativo,palabra negativa,Nunca habia visto algo tan aburrido
509,Negativo,palabra negativa,No puedo creer lo fatal
510,Negativo,palabra negativa,Qué día más peor
511,Positivo,palabra neutra,No puedo creer lo tiempo
512,Positivo,palabra positiva,Hoy me siento maravilloso
513,Negativo,palabra neutra,Qué momento tan solo
514,Neutral,palabra negativa,Qué peor es la vida
515,Neutral,palabra neutra,Algo hoy ha pasado hoy
516,Neutral,palabra negativa,Siempre pasa algo aburrido
517,Negativo,palabra negativa,Algo insufrible ha pasado hoy
518,Neutral,palabra neutra,Definitivamente es así
519,Negativo,palabra negativa,Qué detesto es la vida
520,Neutral,palabra neutra,Algo así ha pasado hoy
521,Neutral,palabra positiva,No puedo creer lo emocionante
522,Neutral,palabra neutra,Nunca habia visto algo tan solo
523,Negativo,palabra negativa,Todo está muy insufrible ultimamente
524,Positivo,palabra positiva,No puedo creer lo maravilloso
525,Neutral,palabra negativa,Algo asqueroso ha pasado hoy
526,Positivo,palabra positiva,El día está excelente
527,Positivo,palabra negativa,Siempre pasa algo lamentable
528,Neutral,palabra negativa,Hoy me siento odio
529,Neutral,palabra positiva,Nunca habia visto algo tan excelente
530,Neutral,palabra neutra,Definitivamente es pienso
531,Negativo,palabra negativa,El día está deprimente
532,Negativo,palabra negativa,Qué día más aburridísimo
533,Neutral,palabra neutra,El día está veo
